material
CUB ACC;RED INSULATING VARNISH
INVERTER;480VAC;480VAC;3P;2HP
UNIV ACC;ISOLASI RUBBER
"UNIV ACC;PAINT BRUSH 2.5"""
UNIV ACC;ISOLASI SCOTH 3M 33mm
UNIV ACC;ISOLASI SCOTH 3M 23mm
UNIV ACC;AQUADES
UNIV ACC;SEAL TAPE
UNIV ACC;BATTERY 9V
UNIV ACC;BATTERY AAA 1.5V
UNIV ACC;MEDIUM PLASTIC BUCKET
UNIV ACC;HORN SIRINE 220VAC
"UNIV ACC;KLEM SELANG 2"""
TOOL M;STEEL RULER 30CM
BIOMASS;WOOD CHIPS;1-3CM
LUBE;S;OMEGA 690 SAE 90
LUBE;S;OMEGA 612 SAE 10
LUBE;S;OMEGA 917
LUBE;S;GARDNER DENVER ISO VG68
BOLT;KOM;D155A;737221035
UNIV ACC;BOLT&NUT M16X50mm+WSH
UNIV ACC;SPRING RUBBER 220X355
ACTUATOR ACC;SEAL KIT PISTON D
PACKING;GLAND;PTFE;16mm
PACKING;SHEET;ASBESTOS;1mm
PACKING;SHEET;PAPER;3mm
PACKING;SHEET;RUBBER;5mm
PACKING;SHEET;ASBESTOS;1.5mm
SEAL;OIL;TC;50X65X8
SEAL;OIL;TC;54X85X10MM
"UNIV ACC;GOLD END TAPE 1/2""X12"
"PAKCING;TAPE;ASBESTOS;1/8""X3""X"
O-RING;KOM;D155A;700013048
O-RING;KOM;D155A;700013038
O-RING;VITON;DIA 6mm
O-RING;VITON;360X12MM
O-RING;VITON;5.22X158X12MM
UNIV ACC;ABRASIVE PAPER;ROLL;1
UNIV ACC;ABRASIVE PAPER;ROLL;4
UNIV ACC;ABRASIVE PAPER;SHEET;
UNIV ACC;ABRASIVE PAPER;SHEET;
UNIV ACC;ABRASIVE PAPER;SHEET;
UNIV ACC;ABRASIVE PAPER;ROLL;2
UNIV ACC;ABRASIVE PAPER;SHEET;
UNIV ACC;PLYWOOD;10mm
SWITCH;LIMIT;LSA3K;
SWITCH;PLAGGING;CT 200 GN;110V
SWITCH;TEMPERATURE;207NH;0-260
SWITCH;TEMPERATURE;822E;0-70DE
CABLE ACC;CABLE SHOE CU-AL 1.5
CABLE ACC;CABLE SHOE CU-AL 1.5
CABLE ACC;CABLE SHOE CU-AL 1.5
CABLE ACC;CABLE SHOE CU-AL 2.5
CABLE ACC;CABLE SHOE CU 2.5mm;
"UNIV ACC;ISOLASI KERTAS 1"""
MTR;KWH;3P;500V;400/5A;1;4W
TOOL M;BRONZE BRUSH
TOOL M;STEEL BRUSH
CARD;HPAD BRD#2 M21701-2A
TRANSMITTER;PRESSURE;3251;20VD
CABLE ACC;CABLE TIES 10cm
CABLE ACC;CABLE TIES 15cm
CABLE ACC;CABLE TIES 2.5X100mm
CABLE ACC;CABLE TIES 20cm
CABLE ACC;CABLE TIES 25cm
CABLE ACC;CABLE TIES 30cm
CABLE ACC;CABLE TIES 45cm
CABLE ACC;CABLE TIES 2.5X200MM
UNIV ACC;HEAD LAMP LED
PROBE;MISALLIGNMENT BELT;TA-2
TOOL I;PROBE CONDUCTIVITY METE
TOOL I;PROBE DO METER LDO-1010
TOOL I;PROBE PH METER PHC-2010
TOOL I;PROBE PH METER PHC-7250
TOOL I;PROBE SODIUM METER ISEN
TOOL I;REGULATOR COMPRESSED AI
TOOL I;REGULATOR HE HP
TOOL I;REGULATOR N2 HP
TOOL I;REGULATOR O2 HP
TOOL S;MASK 8210 N95
TOOL I;PROBE PH METER PHC-3010
THERMOCOUPLE;TPO;ST;8854
THERMOCOUPLE;TPO;STW;8852
PLC ACC;DISPLAY KN2210W
REGULATOR;AIR;B73G2AKAD3RMG;0-
REGULATOR;AIR;B68EBKAU3RLN;0-1
TRANSDUCER;CURRENT;TZ4W;110VAC
TRANSMITTER;FLOW;101MMH20;24VD
TRANSMITTER;FLOW;50KPA;24VDC;4
TRANSMITTER;LEVEL;2051;24VDC;4
TRANSMITTER;LEVEL;2051C;24VDC;
TRANSMITTER;LEVEL;2051C;24VDC;
TRANSMITTER;LEVEL;RO20M3;24VDC
TRANSMITTER;PRESSURE;2051G;24V
CHEM;OXALIC ACID DIHYDRATE;
CHEM;AMMONIUM IRON SULFATE;
CHEM;DISSOLVED OXYGEN;98799
UNIV ACC;GLUE AICA AIBON 0.5KG
UNIV ACC;RUBBER GLUE 300GR
UNIV ACC;ABRASIVE PAPPER;ROL;2
UNIV ACC;OIL PAINT;BLACK
UNIV ACC;OIL PAINT;LIGHT BLUE
UNIV ACC;OIL PAINT;WHITE
UNIV ACC;IRON PAINT;BLUE
UNIV ACC;IRON PAINT;GREEN
UNIV ACC;IRON PAINT;GREY
UNIV ACC;IRON PAINT;SILVER
UNIV ACC;IRON PAINT;YELLOW
UNIV ACC;PYLOX;BLUE;240ML
UNIV ACC;THINNER COBRA
UNIV ACC;PYLOX WHITE 240 Ml
"UNIV ACC;PAINT BRUSH 1"""
"UNIV ACC;PAINT BRUSH 2"""
"UNIV ACC;PAINT BRUSH 4"""
"UNIV ACC;SCRAP 2"""
"UNIV ACC;SCRAP 3"""
"UNIV ACC;PAINT BRUSH 1.5"""
"UNIV ACC;PAINT BRUSH 1/2"""
"UNIV ACC;SCRAP 1"""
UNIV ACC;SEAL COMPOUND;LOCTITE
UNIV ACC;SEAL COMPOUND;LOCTITE
UNIV ACC;SEAL COMPOUND;LOCTITE
UNIV ACC;SEAL COMPOUND;PERMATE
UNIV ACC;PLASTIC SHEET;4X6m
UNIV ACC;CREAM SOAP;B29
UNIV ACC;MAJUN;B1
UNIV ACC;PENETRATING;DRATHON 2
UNIV ACC;SILICON SEALENT
UNIV ACC;SLANG OXY-ACYTELINE 5
UNIV ACC;SPOT CHECK
UNIV ACC;WELDING TORCH 25
UNIV ACC;ANTISIZE COMPOUND MOL
UNIV ACC;STOP CONTACT 4 GROUP
UNIV ACC;PLASTIC STEEL
UNIV ACC;SOCKET POWER & STEKER
UNIV ACC;TIMAH SOLDER
UNIV ACC;VAPPRO 870
UNIV ACC;BELT DRESSING OC152
UNIV ACC;LEM ALTECO
UNIV ACC;SEALENT DRATHON 730
UNIV ACC;PENETRANT WD40-11OZ
UNIV ACC;BATTERY ALKALINE A2
UNIV ACC;CONTACT CLEANER CRC
UNIV ACC;CEMENT SC2000
UNIV ACC;LAMP LED 27W
UNIV ACC;MASKING TAPE 1/2 INCH
UNIV ACC;MASKING TAPE 2 INCH
UNIV ACC;PLASTIC SHEET 3X4 M
UNIV ACC;RUBBER SPLICING TAPE
"UNIV ACC;STEEL CUP BRUSH 3"""
TRANSDUCER;VOLTAGE;CPU1000;150
UNIV ACC;RUBBER BULB
CABLE ACC;CABLE TIE 2.5X150MM
PACKING;SHEET;TEFLON;1000X1000
PACKING;SHEET;TEFLON;1000X1000
UNIV ACC;BATTERY 3.7V 9900mAH
UNIV ACC;BUFF MASKER
UNIV ACC;CUTTER BLADE BL150P
"UNIV ACC;CUTTING WHEEL 4""X6MM"
"UNIV ACC;FLAP DISK 14X1/8X1"""
UNIV ACC;HACK SAW BLADE
UNIV ACC;PLASTIC BAG 100KG
UNIV ACC;SILICON RUBBER GASKET
CHEM;AMMONIUM MOLYBDATE TETRAH
CHEM;PH INDICATOR;PAPER
CHEM;POTTASIUM IODIDA;107799
CHEM;SULFURIC ACID LIQUID;98%
SHIM;BRONZE;0.01X360X1200MM
SHIM;BRONZE;0.03X360X1200MM
SHIM;BRONZE;0.05X360X1200MM
SHIM;BRONZE;0.1X360X1200MM
SHIM;BRONZE;0.3X360X1200MM
SHIM;BRONZE;0.5X360X1200MM
SHIM;SS;2X400X1000MM
SHIM;SS;3X300X1000MM
UNIV ACC;CUTTING WHEEL 107X1X1
UNIV ACC;AIR HOSE 10MM M
UNIV ACC;DERIGEN 5L
UNIV ACC;HARDENER UTR @20GR
UNIV ACC;GRINDING BABY 14X6MM
"UNIV ACC;MASKING TAPE 3"""
UNIV ACC;NYLON ROPE 24MM
UNIV ACC;RECHARGEABLE LED FLAS
UNIV ACC;RUBBER CLIP U 2CM
UNIV ACC;TUNNER 10MM
UNIV ACC;TUNNER 12MM
UNIV ACC;WELDING MASS 500A
